360;6,15
365;6,95
370;7,82
375;8,77
380;9,79
385;10,9
390;12,09
395;13,36
400;14,71
405;16,15
410;17,68
415;19,29
420;21
425;22,79
430;24,67
435;26,64
440;28,7
445;30,85
450;33,09
455;35,41
460;37,82
465;40,3
470;42,87
475;45,52
480;48,25
485;51,04
490;53,91
495;56,85
500;59,86
505;62,93
510;66,06
515;69,25
520;72,5
525;75,79
530;79,13
535;82,52
540;85,95
545;89,41
550;92,91
555;96,44
560;100
565;103,58
570;107,18
575;110,8
580;114,44
585;118,08
590;121,73
595;125,39
600;129,04
605;132,7
610;136,34
615;139,99
620;143,62
625;147,23
630;150,83
635;154,42
640;157,98
645;161,51
650;165,03
655;168,51
660;171,96
665;175,38
670;178,77
675;182,12
680;185,43
685;188,7
690;191,93
695;195,12
700;198,26
705;201,36
710;204,41
715;207,41
720;210,36
725;213,26
730;216,12
735;218,92
740;221,66
745;224,36
750;227
755;229,58
760;232,11
765;234,59
770;237,01
775;239,36
780;241,67
785;243,91
790;246,11
795;248,24
800;250,32
805;252,33
810;254,3
815;256,2
820;258,06
825;259,9
830;261,59
